,rank,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,quarter,time,desc
0,1,R.Woods,Robert Woods,LA,WR,20.37,38,reception,0,0,2017,POST,18,2018010601,2154,2,00:43,"(:43) (No Huddle, Shotgun) J.Goff pass deep middle to R.Woods to ATL 7 for 38 yards (D.Trufant). The Replay Official reviewed the pass completion ruling, and the play was Upheld. The ruling on the field stands."
1,2,C.McCaffrey,Christian McCaffrey,CAR,RB,20.37,56,reception,1,0,2017,POST,18,2018010701,3671,4,04:20,"(4:20) (Shotgun) C.Newton pass short right to C.McCaffrey for 56 yards, TOUCHDOWN. Pass 6, YAC 50"
2,3,M.Sanu,Mohamed Sanu,ATL,WR,20.33,52,reception,0,0,2017,POST,18,2018010601,3658,4,07:22,(7:22) (Shotgun) M.Ryan pass short right to M.Sanu to LA 10 for 52 yards (L.Joyner).
3,4,D.Henry,Derrick Henry,TEN,RB,20.31,35,rush,1,0,2017,POST,18,2018010600,3051,4,14:17,"(14:17) (Shotgun) D.Henry up the middle for 35 yards, TOUCHDOWN."
4,5,T.Ginn,Ted Ginn,NO,WR,19.86,80,reception,1,0,2017,POST,18,2018010701,779,1,01:58,"(1:58) (Shotgun) D.Brees pass deep right to T.Ginn for 80 yards, TOUCHDOWN. Pass 41, YAC 39"
5,6,T.Gurley,Todd Gurley,LA,RB,19.33,8,rush,0,0,2017,POST,18,2018010601,234,1,12:22,(12:22) T.Gurley left end pushed ob at ATL 46 for 8 yards (D.Jones).
6,7,T.Gurley,Todd Gurley,LA,RB,19.27,26,rush,0,1,2017,POST,18,2018010601,1615,2,04:59,"(4:59) T.Gurley up the middle pushed ob at ATL 49 for 26 yards (R.Alford). PENALTY on ATL-R.Allen, Unnecessary Roughness, 15 yards, enforced at ATL 49."
7,8,M.Lee,Marqise Lee,JAX,WR,19.23,5,rush,0,0,2017,POST,18,2018010700,424,1,07:03,(7:03) M.Lee right end ran ob at JAX 33 for 5 yards (L.Alexander).
8,9,L.McCoy,LeSean McCoy,BUF,RB,19,16,reception,0,1,2017,POST,18,2018010700,3279,4,08:29,"(8:29) (Shotgun) T.Taylor pass short right to L.McCoy ran ob at JAX 35 for 39 yards (B.Church). PENALTY on BUF-D.Thompson, Offensive Holding, 10 yards, enforced at BUF 42."
9,10,A.Smith,Alex Smith,KC,QB,18.78,11,rush,0,1,2017,POST,18,2018010600,3603,4,05:20,"(5:20) (Shotgun) A.Smith right end pushed ob at TEN 42 for 18 yards (J.Cyprien). PENALTY on KC-D.Harris, Offensive Holding, 10 yards, enforced at TEN 49."
10,11,T.Coleman,Tevin Coleman,ATL,RB,18.61,4,rush,0,0,2017,POST,18,2018010601,840,1,02:11,(2:11) T.Coleman right end pushed ob at LA 33 for 4 yards (S.Ebukam).
11,12,J.Jones,Julio Jones,ATL,WR,18.49,13,rush,0,0,2017,POST,18,2018010601,819,1,02:53,(2:53) Ju.Jones right end to LA 37 for 13 yards (L.Joyner).
12,13,T.Taylor,Tyrod Taylor,BUF,QB,18.45,5,rush,0,0,2017,POST,18,2018010700,632,1,03:15,(3:15) T.Taylor scrambles right end pushed ob at BUF 34 for 5 yards (T.Smith).
13,14,D.Thompson,Deonte Thompson,BUF,WR,18.39,9,rush,0,0,2017,POST,18,2018010700,3323,4,07:58,(7:58) D.Thompson left end to BUF 41 for 9 yards (J.Ramsey).
14,15,B.Bortles,Blake Bortles,JAX,QB,18.33,3,rush,0,0,2017,POST,18,2018010700,3211,4,09:51,(9:51) (Shotgun) B.Bortles left end pushed ob at JAX 24 for 3 yards (L.Alexander).
15,16,L.Fournette,Leonard Fournette,JAX,RB,18.1,16,rush,0,0,2017,POST,18,2018010700,2570,3,08:23,(8:23) L.Fournette left end to JAX 41 for 16 yards (M.Hyde).
16,17,T.Hill,Tyreek Hill,KC,WR,18.06,45,reception,0,0,2017,POST,18,2018010600,384,1,09:46,(9:46) (Shotgun) A.Smith pass short right to T.Hill pushed ob at TEN 29 for 45 yards (D.Searcy).
17,18,P.Cooper,Pharoh Cooper,LA,WR,17.9,20,kickoff ret,0,0,2017,POST,18,2018010601,3746,4,,M.Bosher kicks 63 yards from ATL 35 to LA 2. P.Cooper pushed ob at LA 22 for 20 yards (L.Toilolo).
18,19,J.Stewart,Jonathan Stewart,CAR,RB,17.86,29,rush,0,0,2017,POST,18,2018010701,2194,3,14:28,(14:28) (Shotgun) J.Stewart right end to NO 29 for 29 yards (K.Crawley).
19,20,M.Thomas,Michael Thomas,NO,WR,17.82,46,reception,0,0,2017,POST,18,2018010701,3466,4,06:43,"(6:43) D.Brees pass deep right to M.Thomas to CAR 5 for 46 yards (L.Kuechly). Pass 23, YAC 23"
20,1,M.Bryant,Martavis Bryant,PIT,WR,20.99,36,reception,1,0,2017,POST,19,2018011400,1930,2,00:32,"(:32) (Shotgun) B.Roethlisberger pass deep right to M.Bryant for 36 yards, TOUCHDOWN."
21,2,N.Agholor,Nelson Agholor,PHI,WR,19.62,21,rush,0,0,2017,POST,19,2018011300,1035,2,12:13,(12:13) N.Agholor left end pushed ob at ATL 3 for 21 yards (R.Allen).
22,3,M.Thomas,Michael Thomas,NO,WR,19.58,14,reception,1,0,2017,POST,19,2018011401,2703,3,01:23,"(1:23) D.Brees pass short right to M.Thomas for 14 yards, TOUCHDOWN."
23,4,J.White,James White,NE,RB,19.45,5,reception,1,0,2017,POST,19,2018011301,1017,2,13:24,"(13:24) (Shotgun) T.Brady pass short middle to J.White for 5 yards, TOUCHDOWN. shovel pass"
24,5,L.Fournette,Leonard Fournette,JAX,RB,19.37,18,rush,1,0,2017,POST,19,2018011400,548,1,05:31,"(5:31) L.Fournette right tackle pushed ob at PIT 1 for 17 yards (J.Haden). Jacksonville challenged the runner was out of bounds ruling, and the play was REVERSED. L.Fournette right tackle for 18 yards, TOUCHDOWN."
25,6,T.Yeldon,T.J. Yeldon,JAX,RB,19.31,40,reception,0,0,2017,POST,19,2018011400,3299,4,07:49,(7:49) (Shotgun) B.Bortles pass short left to T.Yeldon pushed ob at PIT 30 for 40 yards (M.Mitchell).
26,7,A.Kamara,Alvin Kamara,NO,RB,19.31,7,rush,0,0,2017,POST,19,2018011401,2856,4,15:00,(15:00) A.Kamara right end pushed ob at MIN 8 for 7 yards (E.Kendricks).
27,8,J.Wright,Jarius Wright,MIN,WR,19,27,reception,0,0,2017,POST,19,2018011401,3023,4,11:53,"(11:53) A.Collins reported in as eligible.  C.Keenum pass deep left to J.Wright to NO 34 for 27 yards (P.Williams). New Orleans challenged the pass completion ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)"
28,9,T.Coleman,Tevin Coleman,ATL,RB,18.96,18,rush,0,0,2017,POST,19,2018011300,2414,3,11:08,(11:08) T.Coleman right end pushed ob at ATL 30 for 18 yards (M.Jenkins).
29,10,K.Cole,Keelan Cole,JAX,WR,18.9,45,reception,0,0,2017,POST,19,2018011400,2999,4,11:22,(11:22) B.Bortles pass deep left to K.Cole to PIT 3 for 45 yards (J.Haden).
30,11,J.McKinnon,Jerick McKinnon,MIN,RB,18.7,14,rush,1,0,2017,POST,19,2018011401,297,1,09:51,"(9:51) J.McKinnon left end for 14 yards, TOUCHDOWN."
31,12,S.Diggs,Stefon Diggs,MIN,WR,18.59,61,reception,1,0,2017,POST,19,2018011401,4497,4,00:10,"(:10) (Shotgun) C.Keenum pass deep right to S.Diggs for 61 yards, TOUCHDOWN. The Replay Official reviewed the runner was in bounds ruling, and the play was Upheld. The ruling on the field was confirmed."
32,13,N.Agholor,Nelson Agholor,PHI,WR,18.59,10,reception,0,0,2017,POST,19,2018011300,3222,4,10:29,(10:29) (Shotgun) N.Foles pass short right to N.Agholor pushed ob at ATL 24 for 10 yards (B.Poole; K.Neal).
33,14,A.Brown,Antonio Brown,PIT,WR,18.51,27,reception,0,0,2017,POST,19,2018011400,3098,4,10:34,(10:34) B.Roethlisberger pass deep left to A.Brown ran ob at JAX 48 for 27 yards.
