,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,desc
0,M.Breida,Matt Breida,SF,RB,22.09,33,rush,0,0,2018,REG,12,(13:35) M.Breida left end pushed ob at SF 43 for 33 yards (J.Whitehead).
1,D.Cook,Dalvin Cook,MIN,RB,22.07,70,rush,0,0,2018,REG,9,(4:45) (Shotgun) D.Cook left tackle to DET 5 for 70 yards (G.Quin).
2,D.Mccourty,Devin McCourty,NE,FS,22.05,84,int,1,0,2018,REG,8,"(6:09) (Shotgun) D.Anderson pass short right intended for C.Clay INTERCEPTED by D.McCourty at NE 16. D.McCourty for 84 yards, TOUCHDOWN."
3,T.Hill,Tyreek Hill,KC,WR,21.95,58,reception,1,0,2018,REG,1,"(6:50) (Shotgun) P.Mahomes pass short middle to T.Hill for 58 yards, TOUCHDOWN [B.Mebane]."
4,P.Lindsay,Phillip Lindsay,DEN,RB,21.91,32,rush,0,0,2018,REG,12,(6:29) P.Lindsay right guard pushed ob at PIT 38 for 32 yards (T.Edmunds).
5,S.Barkley,Saquon Barkley,NYG,RB,21.91,78,rush,1,0,2018,REG,14,"(8:54) S.Barkley right guard for 78 yards, TOUCHDOWN."
6,K.Ballage,Kalen Ballage,MIA,RB,21.87,75,rush,1,0,2018,REG,15,"(15:00) K.Ballage right tackle for 75 yards, TOUCHDOWN."
7,M.Fitzpatrick,Minkah Fitzpatrick,MIA,S,21.85,50,int,1,0,2018,REG,15,"(7:53) (Shotgun) K.Cousins pass short left intended for S.Diggs INTERCEPTED by M.Fitzpatrick at 50. M.Fitzpatrick for 50 yards, TOUCHDOWN."
8,D.Westbrook,Dede Westbrook,JAX,WR,21.8,74,punt ret,1,0,2018,REG,15,"(:23) T.Way punts 52 yards to JAX 26, Center-A.East. D.Westbrook for 74 yards, TOUCHDOWN."
9,T.Hill,Tyreek Hill,KC,WR,21.78,91,punt ret,1,0,2018,REG,1,"(13:24) D.Kaser punts 57 yards to KC 9, Center-M.Windt. T.Hill for 91 yards, TOUCHDOWN."
10,A.Wilson,Albert Wilson,MIA,WR,21.74,74,reception,1,0,2018,REG,3,"(2:11) (Shotgun) R.Tannehill pass short middle to A.Wilson for 74 yards, TOUCHDOWN."
11,D.Henry,Derrick Henry,TEN,RB,21.74,54,rush,1,0,2018,REG,14,"(5:41) D.Henry right end for 54 yards, TOUCHDOWN."
12,R.Foster,Robert Foster,BUF,WR,21.62,12,reception,0,0,2018,REG,14,"(9:19) (Shotgun) J.Allen pass short middle to R.Foster pushed ob at NYJ 20 for 12 yards (B.Skrine). Shovel pass, caught at NYJ 35"
13,J.Grant,Jakeem Grant,MIA,WR,21.58,71,punt ret,1,0,2018,REG,5,"(:40) K.Huber punts 50 yards to MIA 29, Center-C.Harris. J.Grant pushed ob at CIN 2 for 69 yards (C.Core). The Replay Official reviewed the runner was out of bounds ruling, and the play was REVERSED. K.Huber punts 50 yards to MIA 29, Center-C.Harris. J.Grant for 71 yards, TOUCHDOWN."
14,C.Samuel,Curtis Samuel,CAR,WR,21.56,25,rush,0,0,2018,REG,12,(7:37) (Shotgun) C.Samuel right end pushed ob at SEA 14 for 25 yards (T.Thompson; T.Flowers).
15,A.Erickson,Alex Erickson,CIN,WR,21.52,77,kickoff ret,0,0,2018,REG,15,D.Carlson kicks 63 yards from OAK 35 to CIN 2. A.Erickson pushed ob at OAK 21 for 77 yards (E.Harris).
16,R.Anderson,Robby Anderson,NYJ,WR,21.5,76,reception,1,0,2018,REG,5,"(10:57) (Shotgun) S.Darnold pass deep left to R.Anderson for 76 yards, TOUCHDOWN."
17,A.Callaway,Antonio Callaway,CLE,WR,21.48,47,reception,1,0,2018,REG,2,"(1:24) (Shotgun) T.Taylor pass deep middle to A.Callaway for 47 yards, TOUCHDOWN. Pass 47, YAC 0"
18,D.Jackson,DeSean Jackson,TB,WR,21.48,0,punt ret,0,1,2018,REG,3,"(8:57) J.Berry punts 46 yards to TB 17, Center-K.Canaday. D.Jackson for 83 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on TB-I.Johnson, Offensive Holding, 9 yards, enforced at TB 17."
19,T.Coleman,Tevin Coleman,ATL,RB,21.48,3,rush,0,1,2018,REG,9,"(11:53) T.Coleman up the middle pushed ob at WAS 31 for 25 yards (M.Nicholson). PENALTY on ATL-B.Garland, Offensive Holding, 10 yards, enforced at ATL 47."
