,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week
0,A.Green,A.J. Green,CIN,WR,20.95,38,reception,1,0,2018,REG,1
1,D.Jennings,Darius Jennings,TEN,WR,20.64,94,kickoff ret,1,0,2018,REG,1
2,D.Jackson,DeSean Jackson,TB,WR,20.45,58,reception,1,0,2018,REG,1
3,D.Jackson,DeSean Jackson,TB,WR,20.41,36,reception,1,1,2018,REG,1
4,D.Henry,Derrick Henry,TEN,RB,21.46,2,rush,0,1,2018,REG,1
5,I.Crowell,Isaiah Crowell,NYJ,RB,20.95,62,rush,1,0,2018,REG,1
6,J.Grant,Jakeem Grant,MIA,WR,20.93,102,kickoff ret,1,0,2018,REG,1
7,J.Conner,James Conner,PIT,RB,21.03,22,rush,1,0,2018,REG,1
8,J.Smith-Schuster,JuJu Smith-Schuster,PIT,WR,20.93,67,reception,0,0,2018,REG,1
9,K.Stills,Kenny Stills,MIA,WR,20.25,75,reception,1,0,2018,REG,1
10,M.Breida,Matt Breida,SF,RB,20.19,-1,rush,0,0,2018,REG,1
11,M.Evans,Mike Evans,TB,WR,20.15,50,reception,1,0,2018,REG,1
12,N.Hines,Nyheim Hines,IND,RB,20.05,4,rush,0,0,2018,REG,1
13,P.Cooper,Pharoh Cooper,LAR,WR,20.03,12,punt ret,0,0,2018,REG,1
14,S.Barkley,Saquon Barkley,NYG,RB,19.82,68,rush,1,0,2018,REG,1
15,T.Cohen,Tarik Cohen,CHI,RB,19.96,42,punt ret,0,0,2018,REG,1
16,T.Coleman,Tevin Coleman,ATL,RB,19.76,26,reception,0,0,2018,REG,1
17,T.Lockett,Tyler Lockett,SEA,WR,20.35,51,reception,1,0,2018,REG,1
18,T.Hill,Tyreek Hill,KC,WR,21.95,58,reception,1,0,2018,REG,1
19,T.Hill,Tyreek Hill,KC,WR,21.78,91,punt ret,1,0,2018,REG,1
20,A.Callaway,Antonio Callaway,CLE,WR,21.48,47,reception,1,0,2018,REG,2
21,B.Cooks,Brandin Cooks,LAR,WR,20.35,57,reception,0,0,2018,REG,2
22,C.Newton,Cam Newton,CAR,QB,20.07,10,rush,0,0,2018,REG,2
23,C.Hogan,Chris Hogan,NE,WR,20.29,29,reception,1,0,2018,REG,2
24,D.Cruikshank,Dane Cruikshank,TEN,DB,20.15,66,reception,1,0,2018,REG,2
25,D.Jackson,DeSean Jackson,TB,WR,20.5,75,reception,1,0,2018,REG,2
26,E.Elliott,Ezekiel Elliott,DAL,RB,20.15,19,rush,0,0,2018,REG,2
27,J.Agnew,Jamal Agnew,DET,CB,19.98,4,punt ret,0,1,2018,REG,2
