,playerName,team,POS,speedMPH,week,shortName,yards,playType,touchdown,penalty,seasonType,season
0,Alvin Kamara,NO,RB,20.93,1,A.Kamara,41,reception,0,0,REG,2019
1,Anthony Levine,BAL,DB,20.03,1,A.Levine,60,rush,0,0,REG,2019
2,Dalvin Cook,MIN,RB,20.5,1,D.Cook,19,rush,1,0,REG,2019
3,Dalvin Cook,MIN,RB,20.17,1,D.Cook,8,rush,0,1,REG,2019
4,David Johnson,ARI,RB,20.84,1,D.Johnson,7,rush,0,0,REG,2019
5,DeSean Jackson,PHI,WR,21.4,1,D.Jackson,51,reception,1,0,REG,2019
6,DeSean Jackson,PHI,WR,20.86,1,D.Jackson,53,reception,1,0,REG,2019
7,Derrick Henry,TEN,RB,20.93,1,D.Henry,75,reception,1,0,REG,2019
8,Ito Smith,ATL,RB,19.96,1,I.Smith,16,rush,0,0,REG,2019
9,John Brown,BUF,WR,20.25,1,J.Brown,28,reception,0,0,REG,2019
10,Malcolm Butler,TEN,CB,21.5,1,M.Butler,38,int,1,0,REG,2019
11,Marquise Brown,BAL,WR,20.33,1,M.Brown,83,reception,1,0,REG,2019
12,Raheem Mostert,SF,RB,21.03,1,R.Mostert,3,rush,0,1,REG,2019
13,Richie James,SF,WR,19.96,1,R.James,39,reception,1,0,REG,2019
14,Sammy Watkins,KC,WR,21.33,1,S.Watkins,68,reception,1,0,REG,2019
15,Saquon Barkley,NYG,RB,21.76,1,S.Barkley,59,rush,0,0,REG,2019
16,Ted Ginn,NO,WR,20.05,1,T.Ginn,41,reception,0,0,REG,2019
17,Terry McLaurin,WAS,WR,21.23,1,T.Mclaurin,69,reception,1,0,REG,2019
18,Tevin Coleman,SF,RB,20.62,1,T.Coleman,5,rush,0,0,REG,2019
19,Will Fuller,HOU,WR,21.03,1,W.Fuller,54,reception,0,0,REG,2019
20,Aaron Jones,GB,RB,20.84,2,A.Jones,15,rush,0,0,REG,2019
21,Brandin Cooks,LAR,WR,20.48,2,B.Cooks,57,reception,0,0,REG,2019
22,Chris Carson,SEA,RB,20.09,2,C.Carson,21,rush,0,0,REG,2019
23,Cordarrelle Patterson,CHI,WR,22.23,2,C.Patterson,46,rush,0,0,REG,2019
24,Dalvin Cook,MIN,RB,20.39,2,D.Cook,75,rush,1,0,REG,2019
25,Darren Waller,OAK,TE,20.11,2,D.Waller,16,reception,0,0,REG,2019
26,Deebo Samuel,SF,WR,20.93,2,D.Samuel,5,rush,0,1,REG,2019
27,Deebo Samuel,SF,WR,20.66,2,D.Samuel,38,reception,0,0,REG,2019
28,Devin Smith,DAL,WR,20.13,2,D.Smith,51,reception,1,0,REG,2019
29,Jordan Wilkins,IND,RB,20.37,2,J.Wilkins,55,rush,0,0,REG,2019
30,Julio Jones,ATL,WR,20.7,2,J.Jones,54,reception,1,0,REG,2019
31,Marquise Brown,BAL,WR,20.21,2,M.Brown,41,reception,0,0,REG,2019
32,Nelson Agholor,PHI,WR,21.11,2,N.Agholor,43,reception,0,0,REG,2019
33,Odell Beckham,CLE,WR,21.7,2,O.Beckham,89,reception,1,0,REG,2019
34,Parris Campbell,IND,WR,20.21,2,P.Campbell,12,reception,1,0,REG,2019
35,Raheem Mostert,SF,RB,20.19,2,R.Mostert,39,reception,1,0,REG,2019
36,Saquon Barkley,NYG,RB,20.33,2,S.Barkley,27,rush,1,0,REG,2019
37,Stefon Diggs,MIN,WR,20.66,2,S.Diggs,45,reception,1,1,REG,2019
38,Taylor Gabriel,CHI,WR,20.05,2,T.Gabriel,14,rush,0,0,REG,2019
39,William Jackson,CIN,CB,21.33,2,W.Jackson,19,int,0,0,REG,2019
40,Brandin Cooks,LAR,WR,20.03,3,B.Cooks,18,reception,0,0,REG,2019
41,Christian McCaffrey,CAR,RB,21.01,3,C.Mccaffrey,76,rush,1,0,REG,2019
42,D.J. Moore,CAR,WR,20.05,3,D.Moore,52,reception,1,0,REG,2019
43,Darius Phillips,CIN,CB,20.66,3,D.Phillips,27,kickoff ret,0,1,REG,2019
44,Darrel Williams,KC,RB,20.88,3,D.Williams,41,rush,0,0,REG,2019
45,Deonte Harris,NO,WR,20,3,D.Harris,53,punt ret,1,0,REG,2019
46,Diontae Spencer,DEN,WR,20.13,3,D.Spencer,60,kickoff ret,0,0,REG,2019
47,Evan Engram,NYG,TE,20.84,3,E.Engram,75,reception,1,0,REG,2019
48,Evan Engram,NYG,TE,20.15,3,E.Engram,18,reception,0,0,REG,2019
49,Gus Edwards,BAL,RB,19.98,3,G.Edwards,3,rush,0,1,REG,2019
50,Isaiah McKenzie,BUF,WR,20.25,3,I.Mckenzie,8,rush,0,0,REG,2019
51,Isaiah McKenzie,BUF,WR,20.13,3,I.Mckenzie,9,reception,0,0,REG,2019
52,Jamal Agnew,DET,CB,20.33,3,J.Agnew,100,kickoff ret,1,0,REG,2019
53,Joe Mixon,CIN,HB,21.07,3,J.Mixon,33,reception,0,0,REG,2019
54,JuJu Smith-Schuster,PIT,WR,19.94,3,J.Smith-Schuster,76,reception,1,0,REG,2019
55,Leonard Fournette,JAX,RB,21.13,3,L.Fournette,69,rush,0,0,REG,2019
56,Mecole Hardman,KC,WR,21.74,3,M.Hardman,83,reception,1,0,REG,2019
57,Mecole Hardman,KC,WR,19.9,3,M.Hardman,14,reception,0,0,REG,2019
58,Mike Evans,TB,WR,20.45,3,M.Evans,55,reception,0,0,REG,2019
59,Phillip Dorsett,NE,WR,19.82,3,P.Dorsett,7,rush,0,0,REG,2019
