,shortName,playerName,team,aggressiveness,attempts,avgAirYardsDifferential,avgAirYardsToSticks,avgCompletedAirYards,avgIntendedAirYards,avgTimeToThrow,completionPercentage,completionPercentageAboveExpectation,expectedCompletionPercentage,interceptions,maxCompletedAirDistance,passTouchdowns,passYards,passerRating,season,seasonType,week
0,A.Rodgers,Aaron Rodgers,GB,19,42,-2.3,-2.5,4.8,7.1,3,66.7,2.7,64,1,39.1,1,311,86.5,2017,REG,1
1,A.Smith,Alex Smith,KC,14.3,35,-1.7,-0.6,5.7,7.4,3.02,80,9.9,70.1,0,51.8,4,368,148.6,2017,REG,1
2,A.Dalton,Andy Dalton,CIN,19.4,31,-4.5,-1.4,3.4,7.9,2.49,51.6,-9.9,61.5,4,27.8,0,170,28.4,2017,REG,1
3,B.Roethlisberger,Ben Roethlisberger,PIT,11.1,36,-1.9,-4.3,4.5,6.3,2.42,66.7,-6.5,73.2,1,46,2,263,95,2017,REG,1
4,B.Bortles,Blake Bortles,JAX,28.6,21,-2.5,2.2,6,8.5,2.95,52.4,-7,59.4,0,34.9,1,125,86.4,2017,REG,1
5,B.Hoyer,Brian Hoyer,SF,20,35,-4.2,-0.4,3.3,7.4,2.45,68.6,7.8,60.8,1,28.4,0,193,70.3,2017,REG,1
6,C.Newton,Cam Newton,CAR,12,25,-2.7,-1,6.1,8.8,2.86,56,-2.3,58.3,1,30.5,2,171,87.3,2017,REG,1
7,C.Palmer,Carson Palmer,ARI,27.1,48,-3.5,-0.9,5.4,8.9,2.78,56.3,-3.7,59.9,3,31.1,1,268,53.1,2017,REG,1
8,C.Wentz,Carson Wentz,PHI,15.4,39,-4.1,1,6.5,10.6,2.94,66.7,5.7,61,1,43.7,2,307,96.8,2017,REG,1
9,D.Prescott,Dak Prescott,DAL,30.8,39,-2.8,-0.5,5.1,7.9,2.59,61.5,2.5,59.1,0,40.4,1,268,90.5,2017,REG,1
10,D.Kizer,DeShone Kizer,CLE,13.3,30,-5.1,2.1,6.1,11.2,2.83,66.7,4.9,61.8,1,33.2,1,222,85.7,2017,REG,1
11,D.Carr,Derek Carr,OAK,21.9,32,-1.4,-1.5,4.6,6,2.03,68.8,0.8,68,0,35.1,2,262,114.3,2017,REG,1
12,D.Watson,Deshaun Watson,HOU,8.7,23,-4.4,-0.7,5.2,9.6,2.77,52.2,-9.6,61.7,1,31.3,1,102,60.4,2017,REG,1
13,D.Brees,Drew Brees,NO,29.7,37,-0.7,-0.5,6.3,7,2.73,73,13.4,59.6,0,52.4,1,291,104.7,2017,REG,1
14,E.Manning,Eli Manning,NYG,10.5,38,-1.6,-3.7,3.6,5.2,2.89,76.3,1.2,75.1,1,32.6,0,220,78.8,2017,REG,1
15,J.Goff,Jared Goff,LAR,10.3,29,0.1,-1.6,8,8,2.82,72.4,2.3,70.1,0,40.8,1,306,117.9,2017,REG,1
16,J.Flacco,Joe Flacco,BAL,17.6,17,-2,-5,3,5,2.28,52.9,-14.2,67.1,1,28.5,1,121,71,2017,REG,1
17,J.Mccown,Josh McCown,NYJ,10.3,39,-1.8,-3.9,3.2,4.9,2.37,66.7,-4,70.6,2,28.4,0,187,56.3,2017,REG,1
18,K.Cousins,Kirk Cousins,WAS,22.5,40,-4.5,0.3,4.7,9.2,2.39,57.5,-4.9,62.4,1,30.1,1,240,72.9,2017,REG,1
19,M.Mariota,Marcus Mariota,TEN,14.6,41,-2.3,0.5,6.7,9,2.57,61,-6.9,67.9,0,31.6,0,256,78.9,2017,REG,1
20,M.Ryan,Matt Ryan,ATL,26.7,30,0,-1.9,7.1,7.1,2.58,70,6.6,63.4,0,39.6,1,321,116.1,2017,REG,1
21,M.Stafford,Matthew Stafford,DET,14.6,41,-0.5,-1.5,6.9,7.4,2.81,70.7,7.4,63.4,1,47.6,4,292,113.1,2017,REG,1
22,M.Glennon,Mike Glennon,CHI,20,40,-0.8,-4.1,4.4,5.2,2.53,65,-0.1,65.1,0,27.4,1,213,86.8,2017,REG,1
23,P.Rivers,Philip Rivers,LAC,6.1,33,-1.4,-2,4.8,6.2,2.39,66.7,-6.1,72.8,1,52.9,3,192,99.6,2017,REG,1
24,R.Wilson,Russell Wilson,SEA,18.5,27,-2.7,2.5,7.7,10.5,3.2,51.9,-6.1,58,0,46.8,0,158,69.7,2017,REG,1
25,S.Bradford,Sam Bradford,MIN,18.8,32,0.3,-0.2,8.2,7.9,2.57,84.4,22.5,61.9,0,48.4,3,346,143,2017,REG,1
26,S.Tolzien,Scott Tolzien,IND,27.8,18,-3.4,0.7,5.7,9.1,2.52,50,-11.4,61.4,2,35.7,0,128,33.8,2017,REG,1
27,T.Brady,Tom Brady,NE,33.3,36,-5.9,6.2,9.2,15.1,3.12,44.4,-9.3,53.7,0,58,0,267,70,2017,REG,1
28,T.Siemian,Trevor Siemian,DEN,10.7,28,1.3,-0.4,8.8,7.5,2.26,60.7,0.3,60.4,1,38.5,2,219,94.2,2017,REG,1
29,T.Taylor,Tyrod Taylor,BUF,14.3,28,-1.5,-3.7,4.9,6.4,3.06,57.1,-11.5,68.7,1,34.1,2,224,92,2017,REG,1
