,shortName,playerName,team,aggressiveness,attempts,avgAirYardsDifferential,avgAirYardsToSticks,avgCompletedAirYards,avgIntendedAirYards,avgTimeToThrow,completionPercentage,completionPercentageAboveExpectation,expectedCompletionPercentage,interceptions,maxCompletedAirDistance,passTouchdowns,passYards,passerRating,season
0,R.Wilson,Russell Wilson,SEA,14.3,427,-1.9,0,7.3,9.2,3.02,65.6,4.2,61.4,7,54.4,35,3448,110.9,2018
1,C.Beathard,C.J. Beathard,SF,14.8,169,-1.8,-2.3,5,6.8,2.61,60.4,-8.1,68.4,7,48.6,8,1252,81.8,2018
2,J.Driskel,Jeff Driskel,CIN,21,176,-3.1,-1.8,4.6,7.8,2.56,59.7,-3.8,63.4,2,44.9,6,1003,82.2,2018
3,D.Brees,Drew Brees,NO,15.5,489,-1.2,-1.6,5.9,7.1,2.59,74.4,6.9,67.6,5,45.5,32,3992,115.7,2018
4,J.Winston,Jameis Winston,TB,20.4,378,-2.4,1.5,8.4,10.8,2.8,64.6,1.7,62.9,14,54.8,19,2992,90.2,2018
5,C.Keenum,Case Keenum,DEN,16,586,-1.9,-1.5,5.6,7.5,2.68,62.3,-2.4,64.7,15,55.3,18,3890,81.2,2018
6,C.Newton,Cam Newton,CAR,17.2,471,-2.1,-1.7,5,7.1,2.69,67.9,2.5,65.4,13,40.5,24,3395,94.2,2018
7,P.Mahomes,Patrick Mahomes,KC,12.4,580,-2.8,0.3,6.4,9.2,2.91,66,1.2,64.8,12,60.7,50,5097,113.8,2018
8,B.Bortles,Blake Bortles,JAX,16.9,403,-2.1,-1.6,4.9,7,2.76,60.3,-7.5,67.8,11,46.8,13,2718,79.8,2018
9,B.Mayfield,Baker Mayfield,CLE,15.6,486,-2.8,0.1,6.3,9.1,2.79,63.8,-0.7,64.4,14,63.8,27,3725,93.7,2018
10,C.Kessler,Cody Kessler,JAX,12.2,131,-2.5,-2.7,4.2,6.7,2.92,64.9,0.7,64.2,2,44.6,2,709,77.4,2018
11,A.Dalton,Andy Dalton,CIN,17.3,365,-2.2,-0.6,6.2,8.3,2.61,61.9,-0.9,62.8,11,47.5,21,2566,89.6,2018
12,A.Rodgers,Aaron Rodgers,GB,13.7,597,-2.8,-0.2,6,8.8,2.95,62.3,-1.1,63.5,2,61.4,25,4442,97.6,2018
13,J.Goff,Jared Goff,LAR,13.2,561,-1.8,0.1,7,8.8,2.95,64.9,0.6,64.3,12,62.7,32,4688,101.1,2018
14,L.Jackson,Lamar Jackson,BAL,17.6,170,-1.9,-0.4,6.5,8.4,3.1,58.2,-5.3,63.5,3,35.8,6,1201,84.5,2018
15,A.Smith,Alex Smith,WAS,17.7,328,-2.4,-0.9,5.7,8.1,2.79,62.5,0,62.5,5,48.9,10,2180,85.7,2018
16,R.Tannehill,Ryan Tannehill,MIA,13.5,274,-3,-1.5,4.9,7.9,2.65,64.2,-1.1,65.4,9,55.3,17,1979,92.7,2018
