,shortName,playerName,team,aggressiveness,attempts,avgAirYardsDifferential,avgAirYardsToSticks,avgCompletedAirYards,avgIntendedAirYards,avgTimeToThrow,completionPercentage,completionPercentageAboveExpectation,expectedCompletionPercentage,interceptions,maxCompletedAirDistance,passTouchdowns,passYards,passerRating,season,seasonType,week
0,A.Luck,Andrew Luck,IND,18.8,32,-1.3,2.1,9,10.3,2.87,59.4,-3.8,63.2,1,45.2,2,222,88.3,2018,POST,18
1,D.Prescott,Dak Prescott,DAL,15.2,33,-1.7,-1.6,5.8,7.5,3.07,66.7,6.6,60.1,1,37.6,1,226,83.6,2018,POST,18
2,D.Watson,Deshaun Watson,HOU,8.2,49,-4.4,-1.3,2.9,7.2,2.8,59.2,-9.7,68.9,1,27.7,1,235,69.7,2018,POST,18
3,L.Jackson,Lamar Jackson,BAL,10.3,29,-2.2,-0.2,6.8,9.1,3.32,48.3,-9.4,57.7,1,43.8,2,194,78.8,2018,POST,18
4,M.Trubisky,Mitchell Trubisky,CHI,16.3,43,-2.5,1.7,8,10.5,2.72,60.5,0.3,60.1,0,43.9,1,303,89.6,2018,POST,18
5,N.Foles,Nick Foles,PHI,27.5,40,-1.9,-0.7,6.1,8,2.45,62.5,0.5,62,2,33.8,2,266,77.7,2018,POST,18
6,P.Rivers,Philip Rivers,LAC,9.4,32,-3.1,-1.7,2.7,5.8,2.46,68.8,5,63.7,0,33.5,0,160,80.2,2018,POST,18
7,R.Wilson,Russell Wilson,SEA,18.5,27,-1.3,-1.4,7.4,8.8,2.82,66.7,3.8,62.8,0,45.3,1,233,105.9,2018,POST,18
8,A.Luck,Andrew Luck,IND,27.8,36,-1.3,-0.3,7.9,9.1,2.86,52.8,-11.7,64.4,0,39.8,1,203,78.8,2018,POST,19
9,D.Prescott,Dak Prescott,DAL,6.3,32,0.2,-1.9,7.2,7,2.78,62.5,-12.9,75.4,0,44.7,1,266,99.2,2018,POST,19
10,D.Brees,Drew Brees,NO,23.7,38,-3.8,-0.1,6.3,10.1,2.63,73.7,10.5,63.2,1,39.9,2,301,103.1,2018,POST,19
11,J.Goff,Jared Goff,LAR,25,28,-1.2,1.2,7.6,8.8,2.92,53.6,-6.2,59.7,0,32.6,0,186,74.4,2018,POST,19
12,N.Foles,Nick Foles,PHI,22.6,31,-2.8,1,6.2,9,2.71,58.1,-3.5,61.6,2,43.5,1,201,61.4,2018,POST,19
13,P.Mahomes,Patrick Mahomes,KC,7.3,41,-4,-1.4,4.3,8.3,2.69,65.9,-6.9,72.7,0,26.3,0,278,85.2,2018,POST,19
14,P.Rivers,Philip Rivers,LAC,33.3,51,-2.6,0.7,8.2,10.9,3.01,49,1.3,47.7,1,49.8,3,331,81.4,2018,POST,19
15,T.Brady,Tom Brady,NE,9.1,44,-0.5,-4.4,3.7,4.3,2.33,77.3,1.4,75.9,0,36,1,343,106.5,2018,POST,19
16,D.Brees,Drew Brees,NO,10,40,-2.3,-2.4,4.2,6.4,2.62,65,0,65,1,52.7,2,249,88.4,2018,POST,20
17,J.Goff,Jared Goff,LAR,10,40,-0.2,-1,7,7.2,2.8,62.5,-3.2,65.7,1,44.1,1,297,83,2018,POST,20
18,P.Mahomes,Patrick Mahomes,KC,22.6,31,-3.6,4.1,9.5,13.1,3.32,51.6,-4,55.6,0,53,3,295,117,2018,POST,20
19,T.Brady,Tom Brady,NE,30.4,46,-1.9,-0.3,6.2,8.1,2.51,65.2,0.6,64.6,2,46.3,1,348,77.1,2018,POST,20
20,J.Goff,Jared Goff,LAR,26.3,38,-3.3,1.4,7.4,10.6,3.16,50,-8.3,58.3,1,37.3,0,229,57.9,2018,POST,22
21,T.Brady,Tom Brady,NE,22.9,35,-1.2,-0.5,6.1,7.3,2.44,60,-10.5,70.5,1,35.6,0,262,71.4,2018,POST,22
