,shortName,playerName,team,aggressiveness,attempts,avgAirYardsDifferential,avgAirYardsToSticks,avgCompletedAirYards,avgIntendedAirYards,avgTimeToThrow,completionPercentage,completionPercentageAboveExpectation,expectedCompletionPercentage,interceptions,maxCompletedAirDistance,passTouchdowns,passYards,passerRating,season,seasonType,week,gameId
0,C.Wentz,Carson Wentz,PHI,12.8,39,-0.9,-0.2,7.7,8.6,2.57,71.8,3.7,68.1,0,58.4,3,313,121,2019,REG,1,2019090806
1,P.Mahomes,Patrick Mahomes,KC,3,33,-1.4,-1.9,4.5,5.9,2.42,75.8,2.7,73.1,0,34.7,3,378,143.2,2019,REG,1,2019090802
2,C.Keenum,Case Keenum,WAS,13.6,44,-1.4,-3,5.9,7.4,2.85,68.2,3.2,65,0,50.2,3,380,117.6,2019,REG,1,2019090806
3,J.Garoppolo,Jimmy Garoppolo,SF,14.8,27,-3,-5.7,2.2,5.2,2.31,66.7,-5.4,72.1,1,37.7,1,166,80.2,2019,REG,1,2019090811
4,R.Fitzpatrick,Ryan Fitzpatrick,MIA,24.1,29,-5.5,5.5,10.1,15.5,2.79,48.3,-5.2,53.5,1,52,1,185,66,2019,REG,1,2019090803
5,R.Wilson,Russell Wilson,SEA,25,20,-2.6,-2.8,6.1,8.8,2.91,70,9.1,60.9,0,44.7,2,195,134.4,2019,REG,1,2019090808
6,B.Roethlisberger,Ben Roethlisberger,PIT,12.8,47,-5,0.1,4.6,9.6,2.54,57.4,-6.5,63.9,1,53,0,276,65.6,2019,REG,1,2019090812
7,D.Brees,Drew Brees,NO,7,43,0,-0.8,7.5,7.5,2.85,74.4,10.4,64,1,42.8,2,370,105.8,2019,REG,1,2019090900
8,J.Flacco,Joe Flacco,DEN,16.1,31,-0.4,-0.5,7.2,7.6,2.66,67.7,4.2,63.5,0,45.1,1,268,105.3,2019,REG,1,2019090901
9,E.Manning,Eli Manning,NYG,13.6,44,-0.7,-3.9,4.9,5.5,2.69,68.2,-1.6,69.8,0,41.2,1,306,95.5,2019,REG,1,2019090810
10,M.Mariota,Marcus Mariota,TEN,16.7,24,-0.9,-3.3,5.4,6.3,3.06,58.3,-2.8,61.1,0,42.7,3,248,133.3,2019,REG,1,2019090801
11,B.Mayfield,Baker Mayfield,CLE,10.5,38,-1.4,-2.8,7.4,8.7,2.82,65.8,-6.1,71.9,3,43.4,1,285,64,2019,REG,1,2019090801
12,M.Trubisky,Mitchell Trubisky,CHI,26.7,45,-3.6,-3,4.7,8.3,2.51,57.8,-1.9,59.7,1,38.2,0,228,62.1,2019,REG,1,2019090500
13,T.Brady,Tom Brady,NE,8.3,36,0.2,-1.6,8,7.8,2.58,66.7,-1.1,67.8,0,50.9,3,341,124.9,2019,REG,1,2019090812
14,S.Darnold,Sam Darnold,NYJ,14.6,41,-3.3,-2.6,2.3,5.6,2.46,68.3,-6,74.3,0,27.7,1,175,84.9,2019,REG,1,2019090805
