,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season,seasonType,week,gameId
0,D.Thompson,Deonte Thompson,BUF,WR,7.5,1.9,15.3,37.15,2,6,33.33,23,0,2.3,1.3,1.1,2017,POST,18,2018010700
1,R.Woods,Robert Woods,LA,WR,7.3,3.5,13.1,43.66,9,14,64.29,142,0,3.1,2.9,0.2,2017,POST,18,2018010601
2,C.Kupp,Cooper Kupp,LA,WR,7.1,3.7,8.2,25.4,8,13,61.54,69,1,1.3,1.9,-0.6,2017,POST,18,2018010601
3,M.Sanu,Mohamed Sanu,ATL,WR,6.8,1.4,6.2,33.82,4,8,50,75,0,16.8,12.7,4.1,2017,POST,18,2018010601
4,T.Ginn,Ted Ginn,NO,WR,6.5,1.6,24,40.45,4,6,66.67,115,1,10.4,3.8,6.6,2017,POST,18,2018010701
5,D.Funchess,Devin Funchess,CAR,WR,6.4,1.8,18.7,41.15,4,8,50,79,0,3.4,3.1,0.3,2017,POST,18,2018010701
6,C.Clay,Charles Clay,BUF,TE,6.2,3.3,4.7,9.49,3,5,60,15,0,3.2,3.9,-0.7,2017,POST,18,2018010700
7,D.Westbrook,Dede Westbrook,JAX,WR,6.1,2.6,6.9,64.3,5,8,62.5,48,0,4.3,3.4,1,2017,POST,18,2018010700
8,D.Walker,Delanie Walker,TEN,TE,6.1,4.1,9.9,26.11,6,8,75,74,0,6,6.6,-0.6,2017,POST,18,2018010600
9,B.Coleman,Brandon Coleman,NO,WR,6,3.1,10.4,14.66,4,5,80,44,0,2.8,2.7,0.2,2017,POST,18,2018010701
10,T.Hill,Tyreek Hill,KC,WR,6,3.6,7.7,38.37,7,11,63.64,87,0,11.7,7.7,3.9,2017,POST,18,2018010600
11,A.Hooper,Austin Hooper,ATL,TE,5.5,1.9,5.9,20.04,3,5,60,15,0,0.7,1.2,-0.5,2017,POST,18,2018010601
12,M.Thomas,Michael Thomas,NO,WR,5.4,2.2,10.9,27.56,8,9,88.89,131,0,6,4.1,1.9,2017,POST,18,2018010701
13,J.Jones,Julio Jones,ATL,WR,5.4,4.2,5.3,36.31,9,10,90,94,1,5,4.2,0.9,2017,POST,18,2018010601
14,G.Olsen,Greg Olsen,CAR,TE,5.4,3.3,9.1,30.09,8,12,66.67,107,1,3.8,5.2,-1.4,2017,POST,18,2018010701
15,C.Davis,Corey Davis,TEN,WR,4.9,3.8,11.1,25.68,4,7,57.14,35,0,6,4.8,1.2,2017,POST,18,2018010600
16,E.Decker,Eric Decker,TEN,WR,4.6,2.6,13.7,22.61,2,5,40,21,1,1.1,2,-0.8,2017,POST,18,2018010600
17,N.O'Leary,Nick O'Leary,BUF,TE,3.5,3.7,6.5,15.75,2,6,33.33,22,0,12.1,8.5,3.6,2017,POST,18,2018010700
18,M.Lee,Marqise Lee,JAX,WR,8.7,2.8,19.9,46.72,3,6,50,28,0,0.7,2.5,-1.8,2017,POST,19,2018011400
19,S.Diggs,Stefon Diggs,MIN,WR,8.1,2.9,9.7,27.07,6,10,60,137,1,12.6,5.5,7.1,2017,POST,19,2018011401
20,J.Jones,Julio Jones,ATL,WR,7.8,2.4,12.3,67.17,9,16,56.25,101,0,1.3,2.2,-0.9,2017,POST,19,2018011300
21,T.Ginn,Ted Ginn,NO,WR,7.3,3,10.4,33.94,8,11,72.73,72,0,2.4,2.5,-0.1,2017,POST,19,2018011401
22,K.Rudolph,Kyle Rudolph,MIN,TE,6.7,2.2,6.9,15.46,5,8,62.5,28,0,2.6,4.5,-1.9,2017,POST,19,2018011401
