,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season,seasonType,week
0,A.Robinson,Allen Robinson,CHI,WR,6.1,2.2,13.2,38.79,10,13,76.92,143,1,4,3.9,0.1,2018,POST,18
1,A.Jeffery,Alshon Jeffery,PHI,WR,5.1,2.2,10.5,29.77,6,9,66.67,82,0,3.5,4.6,-1.2,2018,POST,18
2,A.Cooper,Amari Cooper,DAL,WR,4.2,3.2,11.4,41.88,7,9,77.78,106,0,4.6,2.9,1.8,2018,POST,18
3,A.Miller,Anthony Miller,CHI,WR,3.6,2.9,15.2,17.24,3,5,60,34,0,2.9,3.5,-0.6,2018,POST,18
4,C.Rogers,Chester Rogers,IND,WR,9.3,3,5.4,8.12,4,5,80,46,0,5.8,6.7,-0.9,2018,POST,18
5,D.Hopkins,DeAndre Hopkins,HOU,WR,4,2.2,11.4,32.22,5,10,50,37,0,1.9,1.9,0,2018,POST,18
6,D.Baldwin,Doug Baldwin,SEA,WR,6.3,2.2,12.3,31.22,3,6,50,32,0,-0.9,1.2,-2.1,2018,POST,18
7,E.Dickson,Ed Dickson,SEA,TE,5.9,3.4,4.9,10.26,4,5,80,42,0,5.2,6.4,-1.2,2018,POST,18
8,E.Ebron,Eric Ebron,IND,TE,5,2.1,11.8,21.5,3,6,50,26,1,2.8,2.1,0.7,2018,POST,18
9,G.Tate,Golden Tate,PHI,WR,5,2.1,10.2,25.69,5,8,62.5,46,1,1.9,1.9,-0.1,2018,POST,18
10,K.Allen,Keenan Allen,LAC,WR,6.9,2.4,8.7,27.98,4,6,66.67,37,0,4.3,5.9,-1.6,2018,POST,18
11,K.Coutee,Keke Coutee,HOU,WR,6,3.7,5.4,21.26,11,14,78.57,110,1,5.1,5.3,-0.2,2018,POST,18
12,M.Andrews,Mark Andrews,BAL,TE,5.5,3.6,8.4,24.12,3,7,42.86,31,0,4.1,5.2,-1,2018,POST,18
13,M.Gallup,Michael Gallup,DAL,WR,3,1.1,15,36.65,2,6,33.33,18,1,-0.8,0.6,-1.4,2018,POST,18
14,M.Williams,Mike Williams,LAC,WR,6.5,1.9,15,40.3,2,5,40,42,0,3.8,3.3,0.4,2018,POST,18
15,N.Agholor,Nelson Agholor,PHI,WR,6.6,1.6,11.3,21.33,3,6,50,32,0,3.2,1.4,1.9,2018,POST,18
16,R.Griffin,Ryan Griffin,HOU,TE,7.7,3.6,9.6,13.56,1,5,20,6,0,6.1,5.9,0.2,2018,POST,18
17,T.Hilton,T.Y. Hilton,IND,WR,5.3,2,13.3,40.23,5,10,50,85,0,1.1,2.9,-1.8,2018,POST,18
18,T.Gabriel,Taylor Gabriel,CHI,WR,7.2,2.2,9.6,19.58,4,9,44.44,37,0,2.3,3.2,-1,2018,POST,18
19,T.Lockett,Tyler Lockett,SEA,WR,3.5,3.4,18.9,47.81,4,6,66.67,120,0,8.5,10.3,-1.9,2018,POST,18
20,W.Snead,Willie Snead,BAL,WR,5.8,3.1,10.5,25.59,3,6,50,50,0,8.1,4.8,3.4,2018,POST,18
21,Z.Ertz,Zach Ertz,PHI,TE,6.5,2,7.1,15.57,5,7,71.43,52,0,4.5,3.8,0.7,2018,POST,18
22,A.Jeffery,Alshon Jeffery,PHI,WR,5.4,1.9,10.6,30.37,5,8,62.5,63,0,3.2,2.8,0.4,2018,POST,19
23,A.Cooper,Amari Cooper,DAL,WR,9.6,4.9,4.9,19.96,6,9,66.67,65,1,7.4,6.8,0.6,2018,POST,19
24,A.Gates,Antonio Gates,LAC,TE,2.8,2.2,7.4,10.69,5,8,62.5,41,1,4.4,7.1,-2.7,2018,POST,19
25,B.Cooks,Brandin Cooks,LAR,WR,5.1,1.8,14.4,36.37,4,6,66.67,65,0,0.7,2.3,-1.6,2018,POST,19
26,C.Rogers,Chester Rogers,IND,WR,5.7,4.5,6.8,12.48,5,6,83.33,30,0,-0.3,2.5,-2.8,2018,POST,19
27,C.Hogan,Chris Hogan,NE,WR,6.4,2.2,7.2,19.1,3,5,60,13,0,0.5,1.6,-1.1,2018,POST,19
28,E.Ebron,Eric Ebron,IND,TE,7.3,3.3,9.6,26.38,5,9,55.56,51,0,2.9,3.6,-0.6,2018,POST,19
29,G.Tate,Golden Tate,PHI,WR,7.3,1.3,12.6,22.41,2,5,40,18,0,2.1,1.3,0.8,2018,POST,19
30,J.Edelman,Julian Edelman,NE,WR,6.8,3.2,7.7,53.34,9,13,69.23,151,0,7.1,6.9,0.2,2018,POST,19
