,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season,seasonType,week,gameId
0,A.Seferian-Jenkins,Austin Seferian-Jenkins,JAX,TE,9.3,4.5,2.5,6.15,3,5,60,25,0,7,8.5,-1.6,2018,REG,1,2018090907
1,T.Boyd,Tyler Boyd,CIN,WR,9.1,5,5.9,17.62,3,5,60,26,0,4.5,7.3,-2.7,2018,REG,1,2018090902
2,J.Hunter,Justin Hunter,PIT,WR,8.9,2.4,17,25.59,1,5,20,6,0,-0.3,0.7,-1,2018,REG,1,2018090901
3,T.Gabriel,Taylor Gabriel,CHI,WR,8.5,5.9,0.6,1.5,5,5,100,25,0,4.4,6.3,-2,2018,REG,1,2018090912
4,C.Beasley,Cole Beasley,DAL,WR,8.4,3.3,5.9,22.4,7,8,87.5,73,0,4.4,4.7,-0.3,2018,REG,1,2018090910
5,D.Walker,Delanie Walker,TEN,TE,8.3,2.3,7.1,20.94,4,7,57.14,52,0,4.9,5.1,-0.2,2018,REG,1,2018090903
6,P.Dorsett,Phillip Dorsett,NE,WR,8.2,4.4,7.4,16.03,7,7,100,66,1,3.2,3.7,-0.5,2018,REG,1,2018090905
7,P.Richardson,Paul Richardson,WAS,WR,8,3.2,5.4,29.37,4,6,66.67,22,0,2.7,3.9,-1.2,2018,REG,1,2018090909
8,C.Davis,Corey Davis,TEN,WR,8,4.2,7.1,39.22,6,13,46.15,62,0,5.2,5.2,0,2018,REG,1,2018090903
9,R.Gronkowski,Rob Gronkowski,NE,TE,7.6,2.3,12,29.94,7,8,87.5,123,1,4.1,5.4,-1.3,2018,REG,1,2018090905
10,B.Marshall,Brandon Marshall,SEA,WR,7.6,1.8,13.8,24.85,3,6,50,46,1,0.2,1.8,-1.6,2018,REG,1,2018090911
11,R.Woods,Robert Woods,LA,WR,7.6,1.9,18.2,49.97,3,9,33.33,37,0,3.5,3.2,0.2,2018,REG,1,2018091001
12,A.Humphries,Adam Humphries,TB,WR,7.1,3.5,-0.3,-0.44,3,5,60,27,0,9.9,7.1,2.9,2018,REG,1,2018090906
13,D.Thompson,Deonte Thompson,DAL,WR,6.9,2,9.8,23.07,3,5,60,27,0,0.7,3.3,-2.7,2018,REG,1,2018090910
