,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season
0,P.Richardson,Paul Richardson,WAS,WR,8.5,3.1,8.4,19.63,18,24,75,149,2,2.4,3.3,-0.9,2019
1,R.Woods,Robert Woods,LA,WR,8.2,3.6,8.3,23.35,26,38,68.42,307,0,5.7,5.5,0.2,2019
2,A.Tate,Auden Tate,CIN,WR,8.1,4.6,7.2,9.39,7,12,58.33,94,0,6.4,5.2,1.2,2019
3,J.Wright,Jarius Wright,CAR,WR,7.6,3.5,9.5,11.81,10,15,66.67,126,0,4.8,5.9,-1,2019
4,T.Ginn,Ted Ginn,NO,WR,7.5,2.7,10.8,22.55,12,17,70.59,135,0,1.1,2,-0.9,2019
5,C.Ridley,Calvin Ridley,ATL,WR,7.5,3.2,14.7,23.24,16,23,69.57,207,2,2.2,4.8,-2.7,2019
6,M.Gallup,Michael Gallup,DAL,WR,7.5,2.4,12.4,16.06,13,15,86.67,226,0,7.5,4.9,2.6,2019
7,G.Swaim,Geoff Swaim,JAX,TE,7.5,5.3,3.4,4.72,11,14,78.57,56,0,3.7,4.7,-1,2019
8,P.Campbell,Parris Campbell,IND,WR,7.4,3.3,10.3,13.46,10,13,76.92,62,1,4.8,5.9,-1.1,2019
9,Z.Ertz,Zach Ertz,PHI,TE,7.4,2.2,7.8,21.94,24,38,63.16,255,0,3.3,3.3,0,2019
10,K.Stills,Kenny Stills,HOU,WR,7.3,3,13.4,15.39,11,14,78.57,188,1,4.5,7,-2.5,2019
11,B.Perriman,Breshad Perriman,TB,WR,7.2,2.3,13.2,10.93,3,12,25,16,0,0,2.2,-2.2,2019
12,C.Godwin,Chris Godwin,TB,WR,7.1,2.3,10.7,25.1,26,34,76.47,386,4,6.1,4.5,1.7,2019
13,B.Fowler,Bennie Fowler,NYG,WR,7.1,2.9,13.1,22.88,12,20,60,99,0,1.4,2.3,-0.9,2019
14,C.Samuel,Curtis Samuel,CAR,WR,7.1,2.6,15.3,39.3,16,31,51.61,208,1,2.4,3.4,-1.1,2019
15,R.Switzer,Ryan Switzer,PIT,WR,7.1,3,2.2,2.47,7,10,70,29,0,2.4,2.6,-0.2,2019
16,D.Chark,D.J. Chark,JAX,WR,7.1,2.6,14.2,37.1,19,26,73.08,321,3,3.6,4.3,-0.6,2019
17,T.Higbee,Tyler Higbee,LA,TE,7.1,3.5,7,7.75,10,15,66.67,82,1,4,5.7,-1.7,2019
18,B.Cooks,Brandin Cooks,LA,WR,7,2.8,14.1,32.18,19,31,61.29,296,1,3.4,4.2,-0.8,2019
19,D.Samuel,Deebo Samuel,SF,WR,6.9,3.9,9.4,22.25,11,14,78.57,147,1,9.9,7.6,2.3,2019
20,T.Hockenson,T.J. Hockenson,DET,TE,6.9,2.8,10.9,13.8,11,19,57.89,166,2,7.1,7.9,-0.8,2019
21,M.Jones,Marvin Jones,DET,WR,6.8,2.3,14.7,23.54,18,24,75,277,1,2.1,4.4,-2.3,2019
22,J.Witten,Jason Witten,DAL,TE,6.8,3.4,6,8.3,14,16,87.5,144,2,4.5,4.3,0.2,2019
23,T.Quinn,Trey Quinn,WAS,WR,6.8,2.6,7.7,18.03,15,24,62.5,109,1,3.2,3.5,-0.3,2019
24,J.Grant,Jakeem Grant,MIA,WR,6.8,3.6,11.8,15.57,9,19,47.37,52,0,4.4,5.7,-1.3,2019
25,C.Davis,Corey Davis,TEN,WR,6.7,3.1,11.2,23.77,11,18,61.11,173,1,5.1,1.8,3.3,2019
26,D.Walker,Delanie Walker,TEN,TE,6.7,2.9,7.3,19.83,17,23,73.91,162,2,3.3,3.8,-0.5,2019
27,J.Landry,Jarvis Landry,CLE,WR,6.7,3.2,10.1,27.98,18,33,54.55,328,0,10.1,5.4,4.7,2019
28,T.Hilton,T.Y. Hilton,IND,WR,6.7,3.4,8.2,20.47,20,25,80,195,4,4.1,4.9,-0.8,2019
29,A.Cooper,Amari Cooper,DAL,WR,6.6,2.7,12,30.03,21,29,72.41,286,4,2.5,2.4,0,2019
30,D.Amendola,Danny Amendola,DET,WR,6.6,4.3,9,11.46,11,19,57.89,141,1,6,6.5,-0.5,2019
31,M.Hardman,Mecole Hardman,KC,WR,6.5,4.4,13.2,14.95,8,17,47.06,167,2,11.4,7.2,4.2,2019
32,E.Ebron,Eric Ebron,IND,TE,6.5,2.7,10,16.07,8,16,50,128,2,8.2,3.8,4.3,2019
33,O.Howard,O.J. Howard,TB,TE,6.4,2.8,8.7,7.21,10,12,83.33,131,0,5.2,4.7,0.5,2019
34,T.Lockett,Tyler Lockett,SEA,WR,6.4,3.4,11.6,31.55,26,32,81.25,328,2,3.4,4,-0.7,2019
35,R.Cobb,Randall Cobb,DAL,WR,6.4,3.2,7.1,12.91,14,21,66.67,157,1,6.8,6.2,0.5,2019
36,H.Renfrow,Hunter Renfrow,OAK,WR,6.4,3,6.2,14.35,11,18,61.11,89,0,4.1,4.3,-0.1,2019
37,J.Ross,John Ross,CIN,WR,6.4,3.2,11.3,31.92,13,26,50,292,3,12,6.5,5.4,2019
38,D.Westbrook,Dede Westbrook,JAX,WR,6.4,3.3,5.8,15.24,16,26,61.54,145,1,5.2,5.7,-0.5,2019
39,M.Andrews,Mark Andrews,BAL,TE,6.4,3,10.4,24.46,23,32,71.88,266,3,3.5,3,0.4,2019
40,T.Burton,Trey Burton,CHI,TE,6.4,3.8,2.1,2.48,8,11,72.73,41,0,2.9,3.6,-0.7,2019
41,C.Kupp,Cooper Kupp,LA,WR,6.3,3,7.3,24.75,32,46,69.57,388,3,6.1,4,2,2019
42,A.Thielen,Adam Thielen,MIN,WR,6.3,2.5,13.4,46.29,13,22,59.09,179,2,3.5,4.4,-0.9,2019
43,G.Allison,Geronimo Allison,GB,WR,6.3,4.3,9.5,9.62,8,11,72.73,76,2,3.5,5.5,-2,2019
44,A.Hooper,Austin Hooper,ATL,TE,6.3,4.2,6.8,15.35,28,33,84.85,307,2,5,5.1,-0.1,2019
45,N.Fant,Noah Fant,DEN,TE,6.2,2.9,7,11.42,11,15,73.33,130,1,5.7,4.9,0.8,2019
46,M.Hollins,Mack Hollins,PHI,WR,6.2,2.7,12.3,15.54,10,17,58.82,125,0,4,3.7,0.2,2019
47,C.Sutton,Courtland Sutton,DEN,WR,6.1,3.2,10.8,36.56,22,31,70.97,309,2,4.8,4.9,-0.2,2019
48,L.Fitzgerald,Larry Fitzgerald,ARI,WR,6.1,2.8,8.9,27.66,23,36,63.89,300,2,5.3,5,0.3,2019
49,D.Hopkins,DeAndre Hopkins,HOU,WR,6.1,2.5,11.1,32.88,24,36,66.67,259,2,3.6,3.6,-0.1,2019
50,W.Snead,Willie Snead,BAL,WR,6,3.1,10.3,8.39,8,11,72.73,154,2,8.6,2.9,5.7,2019
51,O.Beckham,Odell Beckham,CLE,WR,6,2.8,11.7,36.3,21,37,56.76,308,1,6.2,4.4,1.9,2019
52,T.Boyd,Tyler Boyd,CIN,WR,6,3,7.3,26.23,24,33,72.73,250,0,3.8,4.9,-1.1,2019
53,M.Evans,Mike Evans,TB,WR,6,2.1,16.7,40.51,18,35,51.43,368,4,4.6,5,-0.4,2019
54,D.Ratley,Damion Ratley,CLE,WR,6,2,12.1,13.26,8,13,61.54,103,0,4.1,2.9,1.2,2019
55,T.McLaurin,Terry McLaurin,WAS,WR,6,2.4,15.7,36.92,16,24,66.67,257,3,3.9,3.7,0.2,2019
56,T.Eifert,Tyler Eifert,CIN,TE,5.9,2.6,7.5,8.92,9,11,81.82,54,1,1.6,2.5,-1,2019
57,N.Boyle,Nick Boyle,BAL,TE,5.9,4.5,5.7,5.06,9,12,75,107,0,7.4,7.9,-0.5,2019
58,S.Shepard,Sterling Shepard,NYG,WR,5.9,3.7,8.5,18.65,20,25,80,218,1,5.3,6.9,-1.5,2019
59,M.Thomas,Michael Thomas,NO,WR,5.9,2.7,8.2,42.24,34,42,80.95,361,1,3,2.7,0.4,2019
60,N.Agholor,Nelson Agholor,PHI,WR,5.9,3.3,9,19.41,18,29,62.07,168,3,4.2,4.4,-0.2,2019
61,M.Brown,Marquise Brown,BAL,WR,5.9,2.8,14.4,36.14,18,34,52.94,304,2,7.8,5.9,1.9,2019
62,J.Crowder,Jamison Crowder,NYJ,WR,5.9,3.2,6.2,32.13,20,28,71.43,164,0,4.1,4.3,-0.2,2019
