,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season,seasonType,week
0,A.Robinson,Allen Robinson,CHI,WR,6,1.5,11.7,41.96,7,13,53.85,102,0,4,3.9,0.1,2019,REG,1
1,A.Jeffery,Alshon Jeffery,PHI,WR,2.7,1.9,10.1,21.09,5,7,71.43,49,1,2.3,1.4,0.9,2019,REG,1
2,A.Cooper,Amari Cooper,DAL,WR,6.6,3,12.1,38.95,6,9,66.67,106,1,3.1,3.2,-0.2,2019,REG,1
3,A.Hooper,Austin Hooper,ATL,TE,6.5,4.6,5,12.65,9,9,100,77,0,3.5,4.4,-0.8,2019,REG,1
4,B.Fowler,Bennie Fowler,NYG,WR,5.8,4.7,5.4,10.94,5,5,100,40,0,2.7,4,-1.3,2019,REG,1
5,B.Cooks,Brandin Cooks,LAR,WR,3.4,2.5,14.5,33.6,2,6,33.33,39,0,7.6,6.2,1.4,2019,REG,1
6,B.Perriman,Breshad Perriman,TB,WR,5.6,2.2,12.9,21.82,2,5,40,10,0,-0.4,2.2,-2.6,2019,REG,1
7,C.Uzomah,C.J. Uzomah,CIN,TE,4,4.5,2.1,3.04,4,5,80,66,0,13.1,7.8,5.3,2019,REG,1
8,C.Ridley,Calvin Ridley,ATL,WR,6.5,2.6,13.3,22.18,4,6,66.67,64,1,3.4,3.3,0.2,2019,REG,1
9,C.Conley,Chris Conley,JAX,WR,2.7,1.7,12.8,42.42,6,7,85.71,97,1,5,2.5,2.5,2019,REG,1
10,C.Godwin,Chris Godwin,TB,WR,8.1,1.2,10.6,21.47,3,6,50,53,1,7.1,1.5,5.6,2019,REG,1
11,C.Kirk,Christian Kirk,ARI,WR,3.5,2.1,12,26.4,4,12,33.33,32,0,2.4,4.5,-2,2019,REG,1
12,C.Latimer,Cody Latimer,NYG,WR,2.8,1.9,16,45.69,3,7,42.86,74,0,6.9,5.5,1.4,2019,REG,1
13,C.Beasley,Cole Beasley,BUF,WR,7,4,6.1,19.53,5,9,55.56,40,0,4.4,5.7,-1.3,2019,REG,1
14,C.Kupp,Cooper Kupp,LAR,WR,8.2,4,4.5,17.33,7,10,70,46,0,3.4,4,-0.6,2019,REG,1
15,C.Sutton,Courtland Sutton,DEN,WR,6.3,3,10.9,38.24,7,8,87.5,120,0,7,7.4,-0.4,2019,REG,1
16,D.Moore,D.J. Moore,CAR,WR,9.3,3.2,10.8,46.01,7,10,70,76,0,1.8,2.7,-1,2019,REG,1
