,shortName,playerName,team,efficiency,8+_defendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season,seasonType,week
0,A.Kamara,Alvin Kamara,NO,4.85,30,2.55,10,23,2.3,1,2017,POST,18
1,D.Henry,Derrick Henry,TEN,2.9,26.09,2.86,23,156,6.8,1,2017,POST,18
2,D.Freeman,Devonta Freeman,ATL,4.95,55.56,2.84,18,66,3.7,1,2017,POST,18
3,J.Stewart,Jonathan Stewart,CAR,3.49,45.45,3.13,11,51,4.6,0,2017,POST,18
4,K.Hunt,Kareem Hunt,KC,3.6,9.09,2.49,11,42,3.8,1,2017,POST,18
5,L.Mccoy,LeSean McCoy,BUF,3.87,31.58,2.72,19,75,3.9,0,2017,POST,18
6,L.Fournette,Leonard Fournette,JAX,5.36,42.86,2.66,21,57,2.7,0,2017,POST,18
7,T.Coleman,Tevin Coleman,ATL,5.62,71.43,2.91,14,40,2.9,0,2017,POST,18
8,T.Gurley,Todd Gurley,LAR,2.78,--,2.77,14,101,7.2,0,2017,POST,18
9,A.Kamara,Alvin Kamara,NO,4.75,18.18,3.04,11,43,3.9,0,2017,POST,19
10,D.Henry,Derrick Henry,TEN,6.22,41.67,2.59,12,28,2.3,0,2017,POST,19
11,D.Freeman,Devonta Freeman,ATL,18.94,30,3.07,10,7,0.7,0,2017,POST,19
12,D.Lewis,Dion Lewis,NE,4.18,33.33,2.54,15,62,4.1,0,2017,POST,19
13,J.Ajayi,Jay Ajayi,PHI,4.65,6.67,3.43,15,54,3.6,0,2017,POST,19
14,L.Murray,Latavius Murray,MIN,5.76,31.58,3,19,50,2.6,1,2017,POST,19
15,L.Bell,Le'Veon Bell,PIT,4.29,31.25,2.81,16,67,4.2,0,2017,POST,19
16,L.Fournette,Leonard Fournette,JAX,3.49,56,2.37,25,109,4.4,3,2017,POST,19
17,M.Ingram,Mark Ingram,NO,5.85,--,2.73,10,25,2.5,0,2017,POST,19
18,T.Coleman,Tevin Coleman,ATL,3.37,40,3.56,10,79,7.9,0,2017,POST,19
19,J.Ajayi,Jay Ajayi,PHI,4.69,44.44,3.2,18,73,4.1,0,2017,POST,20
20,J.Mckinnon,Jerick McKinnon,MIN,4.09,--,3.29,10,40,4,0,2017,POST,20
21,L.Fournette,Leonard Fournette,JAX,4.69,45.83,2.58,24,76,3.2,1,2017,POST,20
22,L.Blount,LeGarrette Blount,PHI,3.05,28.57,3.05,14,90,6.4,1,2017,POST,22
