,shortName,playerName,team,efficiency,8+_defendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season
0,N.Hines,Nyheim Hines,IND,4.2,11.76,2.79,85,314,3.7,2,2018
1,K.Drake,Kenyan Drake,MIA,4.07,10,2.78,120,535,4.5,4,2018
2,M.Lynch,Marshawn Lynch,OAK,4.11,22.22,2.85,90,376,4.2,3,2018
3,M.Gordon,Melvin Gordon,LAC,3.62,25.71,2.83,175,885,5.1,10,2018
4,F.Gore,Frank Gore,MIA,3.13,12.18,2.53,156,722,4.6,0,2018
5,R.Penny,Rashaad Penny,SEA,3.87,10.59,3.01,85,419,4.9,2,2018
6,D.Johnson,David Johnson,ARI,4,24.03,2.68,258,940,3.6,7,2018
7,D.Cook,Dalvin Cook,MIN,3.97,18.05,2.91,133,615,4.6,2,2018
8,J.Adams,Josh Adams,PHI,4.09,16.67,2.93,120,511,4.3,3,2018
9,D.Martin,Doug Martin,OAK,3.78,20.93,2.73,172,723,4.2,4,2018
10,C.Carson,Chris Carson,SEA,3.66,21.86,2.86,247,1151,4.7,9,2018
11,L.Murray,Latavius Murray,MIN,3.76,27.86,2.82,140,578,4.1,6,2018
12,K.Hunt,Kareem Hunt,KC,3.89,15.47,2.76,181,824,4.6,7,2018
13,N.Chubb,Nick Chubb,CLE,3.48,34.38,3.01,192,996,5.2,8,2018
14,C.Ivory,Chris Ivory,BUF,4.6,20.87,2.86,115,385,3.3,1,2018
15,M.Mack,Marlon Mack,IND,3.5,23.08,2.8,195,908,4.7,9,2018
16,G.Edwards,Gus Edwards,BAL,2.78,13.14,2.43,137,718,5.2,2,2018
17,S.Barkley,Saquon Barkley,NYG,3.62,22.99,2.94,261,1307,5,11,2018
18,L.Fournette,Leonard Fournette,JAX,4.44,35.34,2.63,133,439,3.3,5,2018
19,T.Yeldon,T.J. Yeldon,JAX,3.83,21.15,2.72,104,414,4,1,2018
20,L.Miller,Lamar Miller,HOU,3.5,23.33,2.76,210,973,4.6,5,2018
21,I.Smith,Ito Smith,ATL,4.68,21.11,2.87,90,315,3.5,4,2018
22,L.Blount,LeGarrette Blount,DET,5.1,38.96,2.81,154,418,2.7,5,2018
23,J.Conner,James Conner,PIT,3.64,27.91,2.89,215,973,4.5,12,2018
24,T.Cohen,Tarik Cohen,CHI,4.96,5.05,3.34,99,444,4.5,3,2018
25,A.Peterson,Adrian Peterson,WAS,4.31,16.73,2.97,251,1042,4.2,7,2018
26,J.Williams,Jamaal Williams,GB,4.09,11.57,2.71,121,464,3.8,3,2018
27,J.Mixon,Joe Mixon,CIN,3.55,16.03,2.82,237,1168,4.9,8,2018
28,A.Collins,Alex Collins,BAL,4.91,34.21,3.01,114,411,3.6,7,2018
29,D.Henry,Derrick Henry,TEN,3.73,32.09,2.93,215,1059,4.9,12,2018
30,M.Ingram,Mark Ingram,NO,3.51,31.88,2.58,138,645,4.7,6,2018
31,E.Elliott,Ezekiel Elliott,DAL,3.63,24.67,2.89,304,1434,4.7,6,2018
32,S.Michel,Sony Michel,NE,3.71,26.79,2.69,209,931,4.5,6,2018
33,A.Morris,Alfred Morris,SF,4.27,34.23,2.78,111,428,3.9,2,2018
34,K.Johnson,Kerryon Johnson,DET,3.41,21.19,2.96,118,641,5.4,3,2018
35,A.Jones,Aaron Jones,GB,3.45,13.53,2.7,133,728,5.5,8,2018
36,P.Barber,Peyton Barber,TB,4.04,22.65,2.78,234,871,3.7,5,2018
37,J.White,James White,NE,3.56,11.7,2.67,94,425,4.5,5,2018
38,D.Lewis,Dion Lewis,TEN,4.59,25.81,2.86,155,517,3.3,1,2018
39,A.Kamara,Alvin Kamara,NO,3.96,22.16,2.65,194,883,4.6,14,2018
40,T.Coleman,Tevin Coleman,ATL,4.23,25.75,2.92,167,800,4.8,4,2018
41,A.Blue,Alfred Blue,HOU,4.39,22.67,2.73,150,499,3.3,2,2018
42,P.Lindsay,Phillip Lindsay,DEN,3.39,14.06,2.64,192,1042,5.4,9,2018
43,T.Gurley,Todd Gurley,LAR,3.65,8.2,2.8,256,1251,4.9,17,2018
44,A.Ekeler,Austin Ekeler,LAC,3.96,28.3,2.92,106,554,5.2,3,2018
45,C.Mccaffrey,Christian McCaffrey,CAR,3.44,19.63,2.75,219,1098,5,7,2018
46,I.Crowell,Isaiah Crowell,NYJ,3.62,26.57,2.94,143,685,4.8,6,2018
47,M.Davis,Mike Davis,SEA,3.49,11.61,2.65,112,524,4.7,4,2018
48,W.Smallwood,Wendell Smallwood,PHI,3.96,6.9,2.75,87,364,4.2,3,2018
49,E.Mcguire,Elijah McGuire,NYJ,5.2,25,2.95,92,276,3,3,2018
50,M.Breida,Matt Breida,SF,4,25.49,2.89,153,814,5.3,3,2018
51,R.Freeman,Royce Freeman,DEN,4.27,36.15,2.92,130,521,4,5,2018
52,L.Mccoy,LeSean McCoy,BUF,5.07,16.15,2.98,161,514,3.2,3,2018
53,C.Hyde,Carlos Hyde,JAX,4.78,34.3,3.02,172,571,3.3,5,2018
54,J.Howard,Jordan Howard,CHI,3.73,14,2.55,250,935,3.7,9,2018
