,shortName,playerName,team,efficiency,8+DefendersInTheBox,avgTimeBehindLineOfScrimmage,rushingAttempts,rushingYards,averageRushYards,rushingTouchdowns,season
0,M.Sanders,Miles Sanders,PHI,3.94,12.35,2.94,170,766,4.5,3,2019
1,D.Montgomery,David Montgomery,CHI,4.17,17.35,2.79,219,776,3.5,5,2019
2,D.Johnson,David Johnson,ARI,4.25,5.32,2.91,94,345,3.7,2,2019
3,J.Jacobs,Josh Jacobs,OAK,3.56,20.25,2.67,242,1150,4.8,7,2019
4,C.Carson,Chris Carson,SEA,3.9,21.22,2.88,278,1230,4.4,7,2019
5,A.Peterson,Adrian Peterson,WAS,3.99,29.29,2.9,198,820,4.1,5,2019
6,A.Jones,Aaron Jones,GB,4,23.22,2.78,211,984,4.7,16,2019
7,M.Gordon,Melvin Gordon,LAC,4.11,11.49,2.73,148,566,3.8,7,2019
8,L.Murray,Latavius Murray,NO,3.49,34.88,2.66,129,576,4.5,5,2019
9,J.Mixon,Joe Mixon,CIN,4.1,8.33,2.86,252,975,3.9,3,2019
10,R.Freeman,Royce Freeman,DEN,4.21,16.15,2.88,130,500,3.8,3,2019
11,C.McCaffrey,Christian McCaffrey,CAR,3.42,24.1,2.71,278,1361,4.9,14,2019
12,P.Lindsay,Phillip Lindsay,DEN,3.92,14.56,2.98,206,958,4.7,7,2019
13,F.Gore,Frank Gore,BUF,3.8,37.5,2.61,160,573,3.6,2,2019
14,P.Barber,Peyton Barber,TB,4.08,31.76,2.68,148,460,3.1,6,2019
15,C.Hyde,Carlos Hyde,HOU,3.52,14.94,2.76,241,1057,4.4,6,2019
16,D.Williams,Damien Williams,KC,4.52,6.06,2.92,99,374,3.8,3,2019
17,A.Kamara,Alvin Kamara,NO,3.81,15.95,2.77,163,758,4.7,3,2019
18,K.Johnson,Kerryon Johnson,DET,4.2,31.37,2.76,102,350,3.4,2,2019
19,T.Coleman,Tevin Coleman,SF,4.3,38.64,2.89,132,533,4,6,2019
20,M.Mack,Marlon Mack,IND,3.93,11.21,3.05,232,1014,4.4,6,2019
21,M.Breida,Matt Breida,SF,4.06,27.73,3,119,607,5.1,1,2019
22,R.Mostert,Raheem Mostert,SF,3.49,28.35,2.87,127,715,5.6,6,2019
23,T.Gurley,Todd Gurley,LA,4.43,26.6,2.98,203,789,3.9,12,2019
24,K.Drake,Kenyan Drake,ARI,3.68,8.86,2.9,158,757,4.8,7,2019
25,A.Ekeler,Austin Ekeler,LAC,4.4,11.38,3.06,123,511,4.2,3,2019
26,L.McCoy,LeSean McCoy,KC,3.65,10.89,2.75,101,465,4.6,4,2019
27,J.Williams,Jamaal Williams,GB,3.65,20.56,2.55,107,460,4.3,1,2019
28,S.Barkley,Saquon Barkley,NYG,3.68,11.5,2.88,200,911,4.6,5,2019
29,B.Snell,Benny Snell,PIT,4.2,40,2.81,90,335,3.7,1,2019
30,L.Bell,Le'Veon Bell,NYJ,4.38,18.34,2.84,229,748,3.3,3,2019
31,D.Freeman,Devonta Freeman,ATL,4.52,22.29,2.89,166,598,3.6,2,2019
32,N.Chubb,Nick Chubb,CLE,3.51,12.63,2.97,285,1453,5.1,8,2019
33,J.Conner,James Conner,PIT,4.07,13.79,2.87,116,464,4,4,2019
34,M.Ingram,Mark Ingram,BAL,3.34,22.28,2.77,202,1018,5,10,2019
35,L.Fournette,Leonard Fournette,JAX,3.84,31.7,2.81,265,1152,4.3,3,2019
36,A.Mattison,Alexander Mattison,MIN,4.04,34,2.72,100,462,4.6,1,2019
37,D.Henry,Derrick Henry,TEN,3.51,34.69,2.78,271,1329,4.9,13,2019
38,D.Washington,DeAndre Washington,OAK,4.42,15.38,2.79,91,310,3.4,3,2019
39,D.Cook,Dalvin Cook,MIN,4.22,24,2.9,250,1135,4.5,13,2019
40,E.Elliott,Ezekiel Elliott,DAL,3.56,20.49,2.74,283,1235,4.4,11,2019
41,R.Jones,Ronald Jones,TB,3.94,27.33,2.62,161,618,3.8,6,2019
42,G.Edwards,Gus Edwards,BAL,3,25,2.61,112,581,5.2,2,2019
43,J.Howard,Jordan Howard,PHI,3.5,17.65,2.84,119,525,4.4,6,2019
44,S.Michel,Sony Michel,NE,4.3,35.81,2.72,229,838,3.7,6,2019
45,D.Singletary,Devin Singletary,BUF,3.52,5.3,2.93,151,775,5.1,2,2019
